연번,구직등록일,연령,희망지역,희망직종,희망임금,장애유형,중증여부,기관분류
18246,2022-07-08,24,광주 북구,프레스기 및 절단기 조작원,(월급)2000000,청각장애,중증,공단
18247,2022-07-08,23,충남 보령시,기타 전자 부품·제품 조립·검사원,(시급)9160,지적장애,중증,공단
18248,2022-07-08,29,경기 부천시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지적장애,중증,공단
18249,2022-07-08,22,서울 강남구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
18250,2022-07-08,22,서울 강동구,매장 정리원(매장 보조원),(시급)9160,지적장애,중증,공단
18251,2022-07-08,31,경기 하남시,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18252,2022-07-08,22,충남 아산시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18253,2022-07-08,28,경기 파주시,제조 단순 종사원,(시급)9160,신장장애,중증,공단
18254,2022-07-08,37,경기 의정부시,복지시설 보조원,(시급)9160,정신장애,중증,공단
18255,2022-07-08,46,충남 천안시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지체장애,경증,공단
18256,2022-07-08,22,경남 김해시,기타 식품가공 종사원,(시급)9160,지적장애,중증,공단
18257,2022-07-08,39,대전 서구,공공행정 사무원,(시급)9160,지적장애,중증,공단
18258,2022-07-08,55,서울 중랑구,환경 미화원,(월급)1000000,지체장애,경증,공단
18259,2022-07-08,20,울산 북구,제과·제빵원,(시급)9160,지적장애,중증,공단
18260,2022-07-08,65,울산 울주군,시설 요양보호사(노인요양사),(시급)8720,지체장애,경증,공단
18261,2022-07-08,41,서울 노원구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지적장애,중증,공단
18262,2022-07-08,23,서울 강남구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
18263,2022-07-08,34,충북 증평군,"말벗,노년플래너 등 기타 개인 생활 서비스원",(시급)9160,시각장애,경증,공단
18264,2022-07-08,19,서울 용산구,매장 정리원(매장 보조원),(시급)9160,지적장애,중증,공단
18265,2022-07-08,21,서울 성북구,환경 미화원,(시급)9160,지적장애,중증,공단
18266,2022-07-08,21,경기 수원시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,지적장애,중증,공단
18267,2022-07-08,18,경북 구미시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9120,지적장애,중증,공단
18268,2022-07-08,19,경북 구미시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9120,지적장애,중증,공단
18269,2022-07-08,18,경북 구미시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9120,지적장애,중증,공단
18270,2022-07-08,19,경기 수원시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,지적장애,중증,공단
18271,2022-07-08,21,경북 영천시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18272,2022-07-08,21,경북 영천시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18273,2022-07-08,21,광주 광산구,플라스틱 금형 제조원,(시급)9160,시각장애,경증,공단
18274,2022-07-08,24,경기 수원시,가구 조립원,(시급)9160,자폐성장애,중증,공단
18275,2022-07-08,31,경기 파주시,정보보호 전문가,(시급)9160,뇌병변장애,경증,공단
18276,2022-07-08,33,부산 부산진구,사무 보조원(일반사업체),(시급)9160,지체장애,경증,공단
18277,2022-07-08,19,경북 구미시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9120,지적장애,중증,공단
18278,2022-07-08,19,경북 구미시,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
18279,2022-07-08,20,경기 용인시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,지적장애,중증,공단
18280,2022-07-08,33,서울특별시,무역 사무원,(연봉)24000000,정신장애,중증,공단
18281,2022-07-08,65,부산 사상구,의료 보조원,(시급)9160,지체장애,경증,공단
18282,2022-07-08,37,서울 강서구,음료 조리사(바리스타 포함),(시급)9160,정신장애,중증,공단
18283,2022-07-08,20,경북 구미시,환경 미화원,(시급)9160,지적장애,중증,공단
18284,2022-07-08,22,경북 구미시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9120,지적장애,중증,공단
18285,2022-07-08,59,울산 울주군,기계·금속 분야 단순 종사원,(시급)9160,지체장애,경증,공단
18286,2022-07-08,61,광주광역시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지체장애,경증,공단
18287,2022-07-08,37,광주 서구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18288,2022-07-08,31,경기 고양시,회계 사무원,(연봉)24000000,정신장애,중증,공단
18289,2022-07-08,19,경북 김천시,환경 미화원,(시급)9160,지적장애,중증,공단
18290,2022-07-08,70,서울 중구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,시각장애,경증,공단
18291,2022-07-08,43,서울 성동구,음식서비스 관리자,(시급)9160,신장장애,중증,공단
18292,2022-07-08,57,울산 남구,시설 요양보호사(노인요양사),(시급)9160,시각장애,경증,공단
18293,2022-07-08,25,서울 성동구,매장 정리원(매장 보조원),(시급)9160,자폐성장애,중증,공단
18294,2022-07-08,21,경북 구미시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
18295,2022-07-08,56,울산 울주군,시설 요양보호사(노인요양사),(월급)2000000,지체장애,경증,공단
18296,2022-07-08,22,울산 중구,제과·제빵원,(시급)9160,지적장애,중증,공단
18297,2022-07-08,37,서울 도봉구,사무 보조원(일반사업체),(시급)9160,정신장애,중증,공단
18298,2022-07-08,19,경북 구미시,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
18299,2022-07-08,33,대구 서구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,정신장애,중증,공단
18300,2022-07-08,70,부산 부산진구,주차 관리·안내원,(시급)9160,지체장애,경증,공단
18301,2022-07-08,19,충북 청주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18302,2022-07-08,52,경북 구미시,사회복지사(사회복지시설),(시급)9160,시각장애,경증,공단
18303,2022-07-08,19,경북 구미시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9120,지적장애,중증,공단
18304,2022-07-08,56,경남 김해시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,정신장애,중증,공단
18305,2022-07-08,19,경북 구미시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9120,자폐성장애,중증,공단
18306,2022-07-08,21,경북 구미시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9120,지적장애,중증,공단
18307,2022-07-08,21,경북 구미시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9120,지적장애,중증,공단
18308,2022-07-08,62,서울 동대문구,환경 미화원,(시급)9160,지체장애,경증,공단
18309,2022-07-08,56,제주 제주시,식품 분야 단순 종사원,(시급)9160,뇌병변장애,중증,공단
18310,2022-07-08,18,대전 서구,공공행정 사무원,(연봉)30000000,지체장애,경증,공단
18311,2022-07-08,22,전남 영암군,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
18312,2022-07-08,52,경북 김천시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,경증,공단
18313,2022-07-08,41,부산 사상구,사무 보조원(공공기관),(시급)9160,뇌병변장애,경증,공단
18314,2022-07-08,50,광주 광산구,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),(시급)9160,뇌병변장애,경증,공단
18315,2022-07-08,50,광주 광산구,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),(시급)9160,뇌병변장애,경증,공단
18316,2022-07-08,23,전북 부안군,공공행정 사무원,(월급)2000000,지적장애,중증,공단
18317,2022-07-08,61,부산 영도구,재가 요양보호사,(시급)9160,지체장애,경증,공단
18318,2022-07-08,63,대구 달서구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,시각장애,경증,공단
18319,2022-07-08,48,경기 고양시,그 외 사회복지 종사원,(시급)9160,지체장애,중증,공단
18320,2022-07-08,44,울산 남구,자동차 부분품 조립·검사원,(시급)8720,청각장애,중증,공단
18321,2022-07-08,52,부산 남구,일반상점 판매원,(시급)9160,지체장애,경증,공단
18322,2022-07-08,46,경북 구미시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,경증,공단
18323,2022-07-08,61,경남 창원시,승합차 운전원,(시급)9160,지체장애,경증,공단
18324,2022-07-09,45,서울 노원구,경리 사무원(제조),(시급)9160,정신장애,중증,공단
18325,2022-07-09,38,서울 중랑구,경리 사무원(제조),(시급)9160,지적장애,중증,공단
18326,2022-07-09,31,서울 관악구,매장 정리원(매장 보조원),(시급)9160,지적장애,중증,공단
18327,2022-07-09,29,서울 성동구,매장 정리원(매장 보조원),(시급)9160,지적장애,중증,공단
18328,2022-07-11,42,인천 남동구,사무 보조원(공공기관),(시급)9160,뇌병변장애,중증,공단
18329,2022-07-11,46,경남 진주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18330,2022-07-11,40,경남 고성군,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
18331,2022-07-11,59,대구 동구,조경 식재원,(시급)9160,청각장애,경증,공단
18332,2022-07-11,50,경남 창원시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,지체장애,경증,공단
18333,2022-07-11,51,서울 송파구,안마사,(시급)9160,시각장애,중증,공단
18334,2022-07-11,42,울산광역시,기타 식품가공 종사원,(시급)9160,지적장애,중증,공단
18335,2022-07-11,40,서울 마포구,환경 미화원,(시급)9160,언어장애,경증,공단
18336,2022-07-11,53,대구 수성구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(월급)2000000,지체장애,경증,공단
18337,2022-07-11,64,서울 영등포구,환경 미화원,(시급)9160,지체장애,경증,공단
18338,2022-07-11,38,대구 동구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18339,2022-07-11,36,광주 남구,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,지적장애,중증,공단
18340,2022-07-11,62,전북 전주시,청소원,(시급)9160,지체장애,경증,공단
18341,2022-07-11,44,서울 금천구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18342,2022-07-11,36,경남 진주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18343,2022-07-11,36,경남 진주시,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
18344,2022-07-11,35,서울 종로구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18345,2022-07-11,40,경남 진주시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)8720,지적장애,중증,공단
18346,2022-07-11,34,충남 천안시 동남구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,청각장애,중증,공단
18347,2022-07-11,40,전북 전주시,사무 보조원(공공기관),(시급)9160,뇌전증장애,경증,공단
18348,2022-07-11,31,전남 순천시,세탁원(다림질원),(시급)9160,지적장애,중증,공단
18349,2022-07-11,51,경남 김해시,안마사,(시급)9160,시각장애,중증,공단
18350,2022-07-11,36,충남 아산시,기타 전자 부품·제품 조립·검사원,(시급)9160,청각장애,경증,공단
18351,2022-07-11,35,경북 포항시 남구,기타 전자 부품·제품 조립·검사원,(시급)8720,지적장애,중증,공단
18352,2022-07-11,40,서울 동대문구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,정신장애,경증,공단
18353,2022-07-11,33,경남 진주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18354,2022-07-11,33,경남 진주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18355,2022-07-11,46,경남 밀양시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지적장애,중증,공단
18356,2022-07-11,32,전남 순천시,세탁원(다림질원),(시급)9160,지적장애,중증,공단
18357,2022-07-11,67,울산 남구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지체장애,경증,공단
18358,2022-07-11,40,부산광역시,전산자료 입력원(DB·단순자료),(시급)9160,청각장애,경증,공단
18359,2022-07-11,50,서울 성동구,환경 미화원,(월급)1900000,언어장애,경증,공단
18360,2022-07-11,50,경기 동두천시,사무 보조원(일반사업체),(시급)9160,지체장애,중증,공단
18361,2022-07-11,30,서울 영등포구,환경 미화원,(시급)9160,지적장애,중증,공단
18362,2022-07-11,32,경남 김해시,사무 보조원(일반사업체),(시급)9160,신장장애,중증,공단
18363,2022-07-11,56,서울 강서구,콜센터 상담원(콜센터·고객센터·CS센터),(시급)9160,지체장애,경증,공단
18364,2022-07-11,28,전남 목포시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18365,2022-07-11,48,서울 영등포구,"기타 판매 단순 종사원(전단지배포, 벽보원, 물품 보관원)",(시급)9160,정신장애,중증,공단
18366,2022-07-11,32,경남 양산시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지적장애,중증,공단
18367,2022-07-11,51,경기 동두천시,사무 보조원(일반사업체),(시급)9200,지체장애,경증,공단
18368,2022-07-11,28,경기 안양시,생산·품질 사무원 및 관리원(그 외 분야),(시급)9180,지적장애,중증,공단
18369,2022-07-11,36,서울 송파구,그 외 사회복지 종사원,(시급)9160,시각장애,중증,공단
18370,2022-07-11,50,대전 유성구,공공행정 사무원,(시급)9160,시각장애,경증,공단
18371,2022-07-11,30,서울 영등포구,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,지적장애,중증,공단
18372,2022-07-11,27,경남 김해시,기계·금속 분야 단순 종사원,(시급)9160,지적장애,중증,공단
18373,2022-07-11,61,부산 부산진구,기타 직물·신발 기계 조작원 및 조립원,(시급)9160,지체장애,경증,공단
18374,2022-07-11,40,울산 북구,기타 보건·의료 서비스 종사원,(시급)9110,지적장애,중증,공단
18375,2022-07-11,25,부산 부산진구,매장 정리원(매장 보조원),(시급)9160,자폐성장애,중증,공단
18376,2022-07-11,29,광주 광산구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18377,2022-07-11,24,경남 밀양시,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18378,2022-07-11,26,대구 달서구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
18379,2022-07-11,27,대구 북구,공구 조립·검사원,(시급)9160,지적장애,중증,공단
18380,2022-07-11,65,대구 달서구,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",(시급)9160,뇌병변장애,경증,공단
18381,2022-07-11,51,서울 서초구,모니터 요원,(시급)9160,지체장애,경증,공단
18382,2022-07-11,61,대전 서구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)8720,신장장애,경증,공단
18383,2022-07-11,26,경기 군포시,식품 분야 단순 종사원,(월급)1914440,지적장애,중증,공단
18384,2022-07-11,24,전남 순천시,노인 생활지도원,(시급)9160,지적장애,중증,공단
18385,2022-07-11,24,서울 용산구,사무 보조원(일반사업체),(시급)9160,자폐성장애,중증,공단
18386,2022-07-11,24,경기 고양시,사무 보조원(공공기관),(시급)9160,뇌병변장애,중증,공단
18387,2022-07-11,24,경기 고양시,사무 보조원(공공기관),(시급)9160,뇌병변장애,중증,공단
18388,2022-07-11,25,광주 광산구,주방 보조원(일반 음식점),(시급)9160,지적장애,중증,공단
18389,2022-07-11,40,부산 해운대구,사무 보조원(공공기관),(시급)9160,뇌병변장애,중증,공단
18390,2022-07-11,54,경기 김포시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,경증,공단
18391,2022-07-11,52,경남 진주시,중식 조리사,(월급)2000000,지체장애,경증,공단
18392,2022-07-11,49,인천 남동구,사무 보조원(공공기관),(시급)9160,지체장애,경증,공단
18393,2022-07-11,24,충남 천안시,사서,(월급)1910000,지적장애,중증,공단
18394,2022-07-11,30,경북 경주시,환경 미화원,(시급)9160,지적장애,중증,공단
18395,2022-07-11,24,서울 강서구,환경 미화원,(시급)9160,지적장애,중증,공단
18396,2022-07-11,68,대구 북구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지체장애,경증,공단
18397,2022-07-11,38,서울특별시,반도체공학 기술자 및 연구원,(연봉)30000000,뇌병변장애,경증,공단
18398,2022-07-11,46,부산 영도구,사무 보조원(공공기관),(시급)9160,시각장애,경증,공단
18399,2022-07-11,29,서울 강남구,마케팅·광고·홍보·상품기획 사무원,(시급)9160,지체장애,중증,공단
18400,2022-07-11,22,부산 부산진구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18401,2022-07-11,28,경남 진주시,사무 보조원(공공기관),(시급)9160,지적장애,중증,공단
18402,2022-07-11,29,서울 노원구,세차원 및 운송장비 청소원,(시급)9160,지적장애,중증,공단
18403,2022-07-11,21,경기 남양주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(월급)1800000,지적장애,중증,공단
18404,2022-07-11,68,충북 청주시,환경 미화원,(시급)9160,지체장애,경증,공단
18405,2022-07-11,62,부산 부산진구,시설 요양보호사(노인요양사),(시급)9160,청각장애,중증,공단
18406,2022-07-11,67,서울 중랑구,환경 미화원,(시급)9160,지체장애,경증,공단
18407,2022-07-11,25,서울 강동구,환경미화원 및 재활용품 수거원,(월급)1680000,신장장애,경증,공단
18408,2022-07-11,57,충북 청주시 서원구,사무 보조원(일반사업체),(시급)9160,신장장애,경증,공단
18409,2022-07-11,24,서울 관악구,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,지적장애,중증,공단
18410,2022-07-11,22,제주 제주시,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,지적장애,중증,공단
18411,2022-07-11,56,경기 안산시,안마사,(월급)1500000,시각장애,경증,공단
18412,2022-07-11,26,경기 안성시,총무 및 일반 사무원,(시급)9160,청각장애,중증,공단
18413,2022-07-11,19,대구 중구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,자폐성장애,중증,공단
18414,2022-07-11,21,서울 서초구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
18415,2022-07-11,20,부산 기장군,사무 보조원(일반사업체),(시급)9160,자폐성장애,중증,공단
18416,2022-07-11,56,서울특별시,안마사,(시급)9160,시각장애,경증,공단
18417,2022-07-11,20,서울 금천구,기타 전자 부품·제품 조립·검사원,(시급)9160,지적장애,중증,공단
18418,2022-07-11,21,광주 남구,기타 전자 부품·제품 조립·검사원,(시급)9160,지적장애,중증,공단
18419,2022-07-11,26,서울 양천구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
18420,2022-07-11,67,울산 남구,지게차 운전원,(시급)9160,청각장애,경증,공단
18421,2022-07-11,56,서울 송파구,재가 요양보호사,(월급)1500000,지체장애,경증,공단
18422,2022-07-11,72,서울 은평구,환경 미화원,(시급)9160,청각장애,경증,공단
18423,2022-07-11,21,충남 아산시,피부 및 체형 관리사(발관리사 포함),(월급)2100000,청각장애,중증,공단
18424,2022-07-11,27,경기 고양시 일산서구,전산자료 입력원(DB·단순자료),(시급)9160,지적장애,중증,공단
18425,2022-07-11,56,강원 원주시,건축 제도사(캐드원),(시급)9160,언어장애,경증,공단
18426,2022-07-11,60,서울 양천구,사무 보조원(공공기관),(시급)9160,장루요루장애,중증,공단
18427,2022-07-11,55,경남 창원시,음료 조리사(바리스타 포함),(시급)9160,청각장애,경증,공단
18428,2022-07-11,67,대구 남구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,지체장애,경증,공단
18429,2022-07-11,20,충남 금산군,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18430,2022-07-11,20,충남 금산군,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18431,2022-07-11,20,충남 금산군,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18432,2022-07-11,20,충남 금산군,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18433,2022-07-11,59,광주 서구,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,시각장애,경증,공단
18434,2022-07-11,49,서울 강북구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18435,2022-07-11,22,전남 순천시,음료 조리사(바리스타 포함),(월급)1920000,지적장애,중증,공단
18436,2022-07-11,27,대전 서구,음료 조리사(바리스타 포함),0,지적장애,중증,공단
18437,2022-07-11,20,전남 장성군,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18438,2022-07-11,20,전남 장성군,기계·금속 분야 단순 종사원,(시급)9160,지적장애,중증,공단
18439,2022-07-11,20,전남 장성군,기계·금속 분야 단순 종사원,(시급)9160,지적장애,중증,공단
18440,2022-07-11,20,전남 장성군,기계·금속 분야 단순 종사원,(시급)9160,지적장애,중증,공단
18441,2022-07-11,56,전남 순천시,시설 요양보호사(노인요양사),(시급)9160,뇌병변장애,경증,공단
18442,2022-07-11,56,전남 순천시,시설 요양보호사(노인요양사),(시급)9160,뇌병변장애,경증,공단
18443,2022-07-11,20,경기 가평군,세탁원(다림질원),(시급)9160,지적장애,중증,공단
18444,2022-07-11,21,대구 중구,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18445,2022-07-11,20,충북 청주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18446,2022-07-11,20,경북 구미시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18447,2022-07-11,29,기타,사무 보조원(공공기관),(시급)9160,지체장애,경증,공단
18448,2022-07-11,26,전남 순천시,사무 보조원(공공기관),(시급)9160,뇌병변장애,경증,공단
18449,2022-07-11,53,경남 남해군,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,지적장애,중증,공단
18450,2022-07-11,20,경기 군포시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,지적장애,중증,공단
18451,2022-07-11,23,서울 강서구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
18452,2022-07-11,22,서울 영등포구,매장 정리원(매장 보조원),(시급)9160,지적장애,중증,공단
18453,2022-07-11,21,울산 북구,사무 보조원(공공기관),(월급)2000000,지적장애,중증,공단
18454,2022-07-11,38,충북 청주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18455,2022-07-11,21,광주 광산구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18456,2022-07-11,32,서울 송파구,환경 미화원,(시급)9160,정신장애,중증,공단
18457,2022-07-11,56,경북 구미시,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",(시급)9160,시각장애,경증,공단
18458,2022-07-11,34,서울 서대문구,공연·영화·음반 기획자,(월급)1500000,시각장애,중증,공단
18459,2022-07-11,20,경기 남양주시,금형제조 보조원,(시급)9160,지적장애,중증,공단
18460,2022-07-11,22,광주 광산구,네일 아티스트(손톱 관리사),(시급)9160,청각장애,중증,공단
18461,2022-07-11,33,경북 예천군,사무 보조원(일반사업체),(시급)9160,지체장애,중증,공단
18462,2022-07-11,20,경남 창원시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지적장애,중증,공단
18463,2022-07-11,26,서울 강남구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18464,2022-07-11,30,충북 청주시,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,정신장애,중증,공단
18465,2022-07-11,21,서울 금천구,주입·포장·상표부착기 등 기타 기계 조작원,(시급)9160,정신장애,중증,공단
18466,2022-07-11,26,서울 중구,직업 운동선수,(시급)9160,지체장애,중증,공단
18467,2022-07-11,31,경남 창원시 마산회원구,기타 전자 부품·제품 조립·검사원,(시급)9160,청각장애,경증,공단
18468,2022-07-11,61,서울 중랑구,환경 미화원,(시급)9160,시각장애,경증,공단
18469,2022-07-11,75,경남 창원시,안마사,(시급)9160,시각장애,경증,공단
18470,2022-07-11,60,경기 남양주시,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",(시급)9160,지체장애,경증,공단
18471,2022-07-11,20,전남 여수시,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",(시급)9160,자폐성장애,중증,공단
18472,2022-07-11,54,경남 고성군,음료 조리사(바리스타 포함),(시급)9160,정신장애,경증,공단
18473,2022-07-11,19,광주 광산구,음료 조리사(바리스타 포함),(시급)9160,지적장애,중증,공단
18474,2022-07-11,37,인천 연수구,사무 보조원(공공기관),(시급)9160,신장장애,중증,공단
18475,2022-07-11,67,경남 창원시,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",(시급)9160,지체장애,경증,공단
18476,2022-07-11,62,울산 울주군,재가 요양보호사,(시급)9160,청각장애,경증,공단
18477,2022-07-11,46,광주 북구,미용사,(시급)9160,정신장애,중증,공단
18478,2022-07-11,39,서울 강동구,모니터 요원,(시급)9160,지체장애,중증,공단
18479,2022-07-11,22,경기 파주시,총무 및 일반 사무원,(시급)9160,자폐성장애,중증,공단
18480,2022-07-11,69,서울 강동구,환경 미화원,(시급)9160,청각장애,경증,공단
18481,2022-07-11,27,서울 종로구,사무 보조원(일반사업체),(시급)9160,자폐성장애,중증,공단
18482,2022-07-11,24,서울 종로구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18483,2022-07-11,24,서울 종로구,사무 보조원(일반사업체),(시급)9160,자폐성장애,중증,공단
18484,2022-07-11,25,서울 종로구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18485,2022-07-11,25,서울 종로구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18486,2022-07-11,25,서울 서대문구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18487,2022-07-11,24,서울 마포구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18488,2022-07-11,27,서울 종로구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18489,2022-07-11,31,서울 종로구,사무 보조원(일반사업체),(시급)9160,자폐성장애,중증,공단
18490,2022-07-11,32,서울 종로구,사무 보조원(일반사업체),(시급)9160,지적장애,중증,공단
18491,2022-07-11,24,서울특별시,사무 보조원(공공기관),(월급)2300000,뇌병변장애,경증,공단
18492,2022-07-11,57,대전 동구,시설 요양보호사(노인요양사),(시급)9160,시각장애,경증,공단
18493,2022-07-11,63,경기 평택시,시설 요양보호사(노인요양사),(월급)1900000,지체장애,경증,공단
18494,2022-07-11,39,서울특별시,사회과학 연구원,(월급)2500000,지체장애,경증,공단
18495,2022-07-11,48,서울 양천구,환경 미화원,(시급)9160,정신장애,중증,공단
18496,2022-07-11,62,경남 창원시 마산합포구,재가 요양보호사,(시급)9160,지체장애,경증,공단
